,StateName,f_voters_turnout,m_voters_turnout,year
1473,Maharashtra,44.518591396390285,55.48108951755923,2004
1474,Maharashtra,61.72119627723875,69.1446426856491,2009
1475,Maharashtra,71.32805707793591,74.11007839232839,2014
1476,Maharashtra,56.069270156567505,65.38675017581703,2004
1477,Maharashtra,64.14248633650517,69.66790223747707,2009
1478,Maharashtra,61.75939033537187,67.64856289008516,2009
1480,Maharashtra,55.11021145960158,59.82242734104245,2009
1481,Maharashtra,58.39270741906834,65.38998864677316,2014
1482,Maharashtra,44.306546187615766,47.27191148851543,1999
1483,Maharashtra,42.640387083942485,53.47751459683511,2004
1484,Maharashtra,57.426588360918316,62.444821764525884,2014
1485,Maharashtra,50.871470925455576,59.79485729683407,2004
1487,Maharashtra,54.84797162693569,61.67203695179442,2014
1488,Maharashtra,46.567699648652436,56.642701516780036,2009
1489,Maharashtra,58.532494600879694,66.83782472352785,1999
1491,Maharashtra,61.73629479881091,64.6131186584678,2014
1492,Maharashtra,49.652990014075996,61.893479894033455,2004
1493,Maharashtra,47.80304626178068,60.91327509269476,2004
1494,Maharashtra,64.37935462172419,66.74132963173281,2014
1495,Maharashtra,58.078766508398836,65.86892864104335,2014
1496,Maharashtra,52.56526891173885,53.45287615803437,2014
1497,Maharashtra,55.754992147184204,62.741166598225284,2004
1498,Maharashtra,53.19909788160134,62.58337764347273,2004
1499,Maharashtra,40.717209519911115,49.62596843953352,2009
1500,Maharashtra,70.22995007131327,74.5661475602826,1999
1501,Maharashtra,50.751311776305464,55.95538697402256,1999
1504,Maharashtra,62.77820523527834,72.3151930425616,1999
1505,Maharashtra,49.590582437539375,58.31604511650668,2009
1508,Maharashtra,57.22599221369092,63.59232187898348,2004
1511,Maharashtra,68.46298516388471,71.42786924228595,2014
1512,Maharashtra,44.296892822209934,56.08256821185801,2009
1513,Maharashtra,45.604437023966405,55.62814977547917,2009
1514,Maharashtra,49.17727443676104,56.085580387048495,2009
1515,Maharashtra,65.42173575416929,73.44721906131538,2004
1516,Maharashtra,59.613757068996534,66.50133017432017,2004
1517,Maharashtra,55.62282434564748,63.47012355337115,2009
1518,Maharashtra,30.250213392692764,43.677301534780725,2004
1519,Maharashtra,66.98093434071369,74.6380230969825,1999
1520,Maharashtra,59.87248488653509,64.95185003178439,2014
1521,Maharashtra,43.866116394255954,49.74561807744233,2004
1522,Maharashtra,39.02830530772477,43.500248299946335,2009
1524,Maharashtra,61.569295668025994,64.05410417655149,2014
1525,Maharashtra,69.27124892279213,73.63263261813057,1999
1526,Maharashtra,48.270878427882735,50.216869727747735,2004
1527,Maharashtra,44.88217554691467,46.95672143069018,2004
1528,Maharashtra,43.035351604949376,45.110855306884936,2004
1529,Maharashtra,60.90037972425393,63.912455523903475,2014
1530,Maharashtra,54.19010640424968,62.36127090670672,2009
1531,Maharashtra,56.417983735997645,67.1728266659902,1999
1532,Maharashtra,58.76636180021338,64.05137878174844,1999
1533,Maharashtra,61.848137997743024,64.81176941197387,2004
1534,Maharashtra,52.69596857120258,57.78489017120418,2004
1537,Maharashtra,50.417345814899306,57.010186793974526,2009
1540,Maharashtra,40.19601023951106,45.17729675207164,2014
1541,Maharashtra,52.16671364148816,61.22271532732735,1999
1543,Maharashtra,52.462215476501406,62.684629020616846,2004
1544,Maharashtra,58.51796156408389,67.51189120977065,1999
1545,Maharashtra,68.514429064827,73.79790191276723,1999
1546,Maharashtra,56.0140765698253,61.23854306418489,2014
1547,Maharashtra,38.29413434919433,40.47405533702278,2009
1549,Maharashtra,41.151508335469295,50.422430186202305,2009
1551,Maharashtra,56.381694537751216,56.142879129181644,2009
1553,Maharashtra,56.356917576893,65.78796618204804,2004
1555,Maharashtra,57.57751041184637,65.53791853770224,2014
1556,Maharashtra,44.99218920598659,54.07890220853503,2004
1557,Maharashtra,29.14545876991921,37.379824751310245,1999
1558,Maharashtra,59.723502784245696,67.05939024468832,2004
1561,Maharashtra,72.87962126603958,76.57907118584995,1999
1563,Maharashtra,55.521869916482636,66.01221941155214,1999
1564,Maharashtra,49.672613200467644,51.7593806629723,2014
1565,Maharashtra,57.478420398232785,67.17274135956343,2004
1566,Maharashtra,64.53656199468988,70.56466540362797,2004
1567,Maharashtra,52.25864663851425,64.3032268741821,2004
1568,Maharashtra,52.06125323841392,59.31817092587958,2009
1570,Maharashtra,71.90321924049285,75.06468349780067,1999
1571,Maharashtra,53.296797576733844,63.47286232888195,2004
1572,Maharashtra,37.22455014041163,43.33850828564821,2004
1573,Maharashtra,61.40016920473773,67.70575182810325,2014
1575,Maharashtra,38.51118922905485,40.308472558147464,2009
1576,Maharashtra,71.28636176147077,73.17585470314066,2014
1577,Maharashtra,58.565884924009296,67.6409079884571,2014
1578,Maharashtra,39.26302175317393,45.42716300732798,2004
