,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation,Constituency1
3192,Dadra & Nagar Haveli,DN,U03,2,Dadar & Nagar Haveli,106203,90394,196597,87792,77494,165286,2014,533,,1,DADRA & NAGAR HAVELI
721,Gujarat,GJ,S06,1,Dahod,712183,699578,1411765,466791,428519,895311,2014,119,,1,DAHOD
905,Karnataka,KA,S10,1,Dakshina Kannada,774454,790765,1565219,595446,611674,1207120,2014,163,,0,DAKSHINA KANNADA
3198,Daman & Diu,DD,U04,2,Daman & diu,57011,54816,111827,42355,44873,87228,2014,534,,1,DAMAN & DIU
1184,Madhya Pradesh,MP,S12,1,DAMOH,882818,768760,1651614,558821,354514,913336,2014,201,,0,DAMOH
493,Bihar,BH,S04,1,Darbhanga,797254,698177,1495445,407516,421741,829257,2014,72,,1,DARBHANGA
2911,West Bengal,WB,S25,1,Darjeeling,737062,700062,1437154,587016,553877,1140907,2014,462,,1,DARJEELING
1880,Rajasthan,RJ,S20,1,Dausa,814648,709447,1524100,518917,409839,928756,2014,322,,1,DAUSA
890,Karnataka,KA,S10,1,Davanagere,772126,750480,1522712,581109,533385,1114494,2014,159,,1,DAVANAGERE
2386,Uttar Pradesh,UP,S24,1,Deoria,997314,809319,1806926,508083,462357,970443,2014,444,,0,DEORIA
1164,Madhya Pradesh,MP,S12,1,DEWAS,843528,773563,1617111,653540,489442,1142982,2014,215,,0,DEWAS
3120,Jharkhand,JH,S27,1,Dhanbad,1032038,857981,1890021,642557,501332,1143889,2014,518,,0,DHANBAD
1251,Madhya Pradesh,MP,S12,1,DHAR,858093,810302,1668441,586698,489232,1075930,2014,219,,0,DHAR
2251,Tamil Nadu,TN,S22,1,Dharmapuri,696496,661700,1358273,567657,533724,1101416,2014,347,,1,DHARMAPURI
950,Karnataka,KA,S10,1,Dharwad,808768,769269,1578125,562867,477563,1040430,2014,157,,0,DHARWAD
2338,Uttar Pradesh,UP,S24,1,Dhaurahra,846798,711151,1558041,605084,454769,1059867,2014,407,,0,DHAURAHRA
1783,Odisha,OD,S18,1,Dhenkanal,722329,641088,1363471,551212,488983,1040200,2014,286,,1,DHENKANAL
327,Assam,AS,S03,1,Dhubri,797235,752931,1550166,709038,660085,1369123,2014,48,,0,DHUBRI
1588,Maharashtra,MH,S13,1,Dhule,879332,796027,1675367,540775,438455,979230,2014,225,,0,DHULE
2803,West Bengal,WB,S25,1,Diamond harbour,816259,739631,1555914,682840,577412,1260252,2014,479,,0,DIAMOND HARBOUR
339,Assam,AS,S03,1,Dibrugarh,579658,544647,1124305,462187,428637,890824,2014,57,,1,DIBRUGARH
2252,Tamil Nadu,TN,S22,1,Dindigul,696160,704264,1400531,538102,544003,1082129,2014,359,,1,DINDIGUL
