,StateName,stateabb,PCNAME,t_voters,t_electors,voters_turnout,log_electors,sex_ratio,f_voters_turnout,year
2316,Uttar Pradesh,UP,Sultanpur,965211,1703698,56.7,14.35,872,58.7,2014
2317,Uttar Pradesh,UP,Misrikh,998090,1725589,57.8,14.36,820,54.5,2014
2318,Uttar Pradesh,UP,MIRZAPUR,728003,1630287,44.7,14.3,828,37.7,2004
2319,Uttar Pradesh,UP,GHATAMPUR (SC),504722,1207492,41.8,14.0,807,32.7,2004
2321,Uttar Pradesh,UP,Machhlishahr,663055,1263202,52.5,14.05,849,55.3,1999
2322,Uttar Pradesh,UP,Basti,773560,1570657,49.3,14.27,812,49.6,2009
2324,Uttar Pradesh,UP,Domariyaganj,737691,1499679,49.2,14.22,843,50.6,2009
2325,Uttar Pradesh,UP,Mathura,726195,1341649,54.1,14.11,794,49.0,2009
2326,Uttar Pradesh,UP,Mohanlalganj,618329,1149478,53.8,13.95,844,49.9,1999
2327,Uttar Pradesh,UP,Kaushambi,909828,1738509,52.3,14.37,820,53.5,2014
2328,Uttar Pradesh,UP,SAIDPUR (SC),711286,1535355,46.3,14.24,871,44.2,2004
2330,Uttar Pradesh,UP,Bareilly,1016728,1664081,61.1,14.32,826,58.7,2014
2331,Uttar Pradesh,UP,Shahjahanpur ,1128087,1979294,57.0,14.5,799,52.9,2014
2332,Uttar Pradesh,UP,Mirzapur,733334,1405539,52.2,14.16,847,50.0,2009
2334,Uttar Pradesh,UP,Nagina,643152,1196566,53.7,13.99,838,52.2,2009
2336,Uttar Pradesh,UP,BANSGAON (SC),632098,1441224,43.9,14.18,870,42.4,2004
2338,Uttar Pradesh,UP,Dhaurahra,1059867,1558041,68.0,14.26,840,63.9,2014
2339,Uttar Pradesh,UP,Badaun,737178,1405695,52.4,14.16,808,47.3,2009
2340,Uttar Pradesh,UP,MAHARAJGANJ,746614,1311205,56.9,14.09,841,54.1,2004
2341,Uttar Pradesh,UP,Kheri,717933,1260158,57.0,14.05,843,43.3,1999
2342,Uttar Pradesh,UP,Hathras,1049240,1758927,59.7,14.38,813,57.3,2014
2343,Uttar Pradesh,UP,Lalganj,657916,1509536,43.6,14.23,862,46.4,2009
2346,Uttar Pradesh,UP,Meerut,1111542,1764388,63.0,14.38,815,60.6,2014
2348,Uttar Pradesh,UP,Salempur,854457,1661737,51.4,14.32,837,53.4,2014
2351,Uttar Pradesh,UP,MORADABAD,655173,1353266,48.4,14.12,842,38.7,2004
2352,Uttar Pradesh,UP,Sitapur,644865,1113415,57.9,13.92,845,44.8,1999
2353,Uttar Pradesh,UP,Badaun,1026884,1769145,58.0,14.39,809,54.6,2014
2354,Uttar Pradesh,UP,Unnao,599503,1201204,49.9,14.0,816,41.5,1999
2355,Uttar Pradesh,UP,Shrawasti,605386,1405884,43.1,14.16,818,36.1,2009
2359,Uttar Pradesh,UP,Aligarh,564618,1253174,45.1,14.04,818,35.3,1999
2361,Uttar Pradesh,UP,Bansgaon,608738,1279729,47.6,14.06,782,44.1,1999
2362,Uttar Pradesh,UP,Phulpur,552060,1426450,38.7,14.17,805,35.3,2009
2364,Uttar Pradesh,UP,Ballia,619524,1287826,48.1,14.07,752,39.7,1999
2366,Uttar Pradesh,UP,ETAH,587065,1128519,52.0,13.94,810,40.4,2004
2368,Uttar Pradesh,UP,Ghosi,686389,1216056,56.4,14.01,842,55.6,1999
