,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,f_voters_turnout,m_voters_turnout,voters_turnout,log_electors,sex_ratio
640,Gujarat,GJ,S06,1,Banaskantha,796124,719587,1515711,511698.0,371518.0,883216,2014,102,,51.6,64.27365586265456,58.3,14.23,904
641,Gujarat,GJ,S06,1,Bharuch,734862,682658,1417548,562549.0,493760.0,1056319,2014,122,,72.3,76.55165187477377,74.5,14.16,929
656,Gujarat,GJ,S06,1,Chhota Udaipur,798160,738143,1536305,590131.0,504411.0,1094542,2014,121,,68.3,73.93642878620827,71.2,14.24,925
659,Gujarat,GJ,S06,1,Bhavnagar,834571,759936,1594531,516968.0,396013.0,912992,2014,115,,52.1,61.94416053277671,57.3,14.28,911
660,Gujarat,GJ,S06,1,Kachchh,806343,727439,1533782,519100.0,423463.0,942563,2014,101,,58.2,64.37707030382852,61.5,14.24,902
676,Gujarat,GJ,S06,1,Porbandar,807383,731833,1539223,468592.0,335821.0,804415,2014,111,,45.9,58.03837831611515,52.3,14.25,906
687,Gujarat,GJ,S06,1,Kheda,833232,766227,1599476,540239.0,411083.0,951323,2014,117,,53.7,64.83656412619774,59.5,14.29,920
688,Gujarat,GJ,S06,1,Vadodara,849077,789218,1638321,621926.0,533715.0,1155656,2014,120,,67.6,73.24730265924056,70.5,14.31,930
695,Gujarat,GJ,S06,1,Rajkot,864760,790949,1655717,590854.0,461740.0,1052595,2014,110,,58.4,68.32577825061288,63.6,14.32,915
702,Gujarat,GJ,S06,1,Patan,846195,782446,1628641,525799.0,423880.0,949679,2014,103,,54.2,62.13685970727787,58.3,14.3,925
704,Gujarat,GJ,S06,1,Ahmedabad West,800933,733462,1534400,531702.0,428771.0,960475,2014,108,,58.5,66.38532811109043,62.6,14.24,916
705,Gujarat,GJ,S06,1,Ahmedabad East,852765,749057,1601832,557279.0,422980.0,980265,2014,107,,56.5,65.34965670495389,61.2,14.29,878
708,Gujarat,GJ,S06,1,Jamnagar,771003,699937,1470952,484080.0,364974.0,849055,2014,112,,52.1,62.78574791537777,57.7,14.2,908
709,Gujarat,GJ,S06,1,Junagadh,772017,713524,1485543,513928.0,423553.0,937481,2014,113,,59.4,66.56951854687138,63.1,14.21,924
715,Gujarat,GJ,S06,1,Bardoli,829648,784448,1614106,636398.0,567973.0,1204371,2014,123,,72.4,76.70698898810097,74.6,14.29,946
721,Gujarat,GJ,S06,1,Dahod,712183,699578,1411765,466791.0,428519.0,895311,2014,119,,61.3,65.54368750728395,63.4,14.16,982
722,Gujarat,GJ,S06,1,Mahesana,777821,720375,1498219,541116.0,456612.0,997735,2014,104,,63.4,69.56819113909242,66.6,14.22,926
730,Gujarat,GJ,S06,1,Valsad,775073,736988,1512061,580599.0,538185.0,1118784,2014,126,,73.0,74.90894406075299,74.0,14.23,951
735,Gujarat,GJ,S06,1,Anand,781118,715737,1496859,539236.0,427943.0,967179,2014,116,,59.8,69.03387196300686,64.6,14.22,916
738,Gujarat,GJ,S06,1,Gandhinagar,900744,833210,1733972,617164.0,511490.0,1128656,2014,106,,61.4,68.51713694457027,65.1,14.37,925
750,Gujarat,GJ,S06,1,Navsari,972090,792480,1764622,644265.0,512736.0,1157014,2014,125,,64.7,66.27627071567449,65.6,14.38,815
762,Haryana,HR,S07,1,Bhiwani-Mahendragarh,792166,681746,1473912,559428.0,470289.0,1029717,2014,134,,69.0,70.62004680837097,69.9,14.2,861
766,Haryana,HR,S07,1,Sonipat,777824,639364,1417188,551189.0,434412.0,985601,2014,132,,67.9,70.8629458592175,69.5,14.16,822
769,Haryana,HR,S07,1,Sirsa,886303,774254,1660557,692765.0,586098.0,1278863,2014,129,,75.7,78.16344974574157,77.0,14.32,874
770,Haryana,HR,S07,1,Karnal,913321,771000,1684321,666729.0,526629.0,1193358,2014,131,,68.3,73.00051132077331,70.9,14.34,844
789,Haryana,HR,S07,1,Gurgaon,984370,860536,1844906,727100.0,593187.0,1320287,2014,135,,68.9,73.8645021688999,71.6,14.43,874
790,Haryana,HR,S07,1,Ambala,909641,782783,1692424,667712.0,551882.0,1219594,2014,127,,70.5,73.40390329811432,72.1,14.34,861
791,Haryana,HR,S07,1,Hisar,825688,691918,1517606,637448.0,518049.0,1155497,2014,130,,74.9,77.20204241795933,76.1,14.23,838
795,Haryana,HR,S07,1,Kurukshetra,807700,690759,1498459,618481.0,517170.0,1135651,2014,128,,74.9,76.57310882753498,75.8,14.22,855
796,Haryana,HR,S07,1,Faridabad,969407,770945,1740352,651241.0,479430.0,1130671,2014,136,,62.2,67.17931684008884,65.0,14.37,795
803,Haryana,HR,S07,1,Rohtak,850127,717381,1567508,578206.0,465772.0,1043978,2014,133,,64.9,68.01407319141728,66.6,14.26,844
827,Himachal Pradesh,HP,S08,2,Hamirpur,633572,614126,1247699,394620.0,438467.0,833087,2014,139,,71.4,62.28494946115043,66.8,14.04,969
830,Himachal Pradesh,HP,S08,2,Shimla,607137,546225,1153363,403062.0,333715.0,736777,2014,140,,61.1,66.38732279534932,63.9,13.96,900
835,Himachal Pradesh,HP,S08,2,Mandi,587833,562575,1150408,377093.0,347977.0,725070,2014,138,,61.9,64.14968196749757,63.0,13.96,957
838,Himachal Pradesh,HP,S08,2,Kangra,645888,612713,1258601,389575.0,408414.0,797989,2014,137,,66.7,60.31618484938566,63.4,14.05,949
841,Jammu & Kashmir,JK,S09,2,Jammu,977308,870834,1848155,665098.0,587601.0,1252699,2014,146,,67.5,68.05408325727407,67.8,14.43,891
854,Jammu & Kashmir,JK,S09,2,Baramulla,624014,566724,1190766,256288.0,209691.0,465979,2014,141,,37.0,41.07087340989145,39.1,13.99,908
856,Jammu & Kashmir,JK,S09,2,Srinagar,631520,575702,1207230,178779.0,133429.0,312208,2014,142,,23.2,28.30931720293894,25.9,14.0,912
857,Jammu & Kashmir,JK,S09,2,Anantnag,685000,616104,1301143,211595.0,163643.0,375238,2014,143,,26.6,30.88978102189781,28.8,14.08,899
865,Jammu & Kashmir,JK,S09,2,Udhampur,787637,681434,1469072,556791.0,484338.0,1041130,2014,145,,71.1,70.69132100193363,70.9,14.2,865
890,Karnataka,KA,S10,1,Davanagere,772126,750480,1522712,581109.0,533385.0,1114494,2014,159,,71.1,75.26090301323876,73.2,14.24,972
891,Karnataka,KA,S10,1,Bangalore North,1260356,1140751,2401472,720898.0,634569.0,1355485,2014,170,,55.6,57.1979662888898,56.4,14.69,905
892,Karnataka,KA,S10,1,Bijapur,847815,774643,1622635,521090.0,445637.0,966734,2014,150,,57.5,61.46270117891285,59.6,14.3,914
901,Karnataka,KA,S10,1,Chikkodi,746023,696120,1442206,564052.0,506614.0,1070668,2014,147,,72.8,75.6078565942337,74.2,14.18,933
904,Karnataka,KA,S10,1,Chitradurga,844869,816317,1661277,572567.0,524303.0,1096871,2014,164,,64.2,67.76991462581773,66.0,14.32,966
905,Karnataka,KA,S10,1,Dakshina Kannada,774454,790765,1565219,595446.0,611674.0,1207120,2014,163,,77.4,76.8859092986801,77.1,14.26,1021
917,Karnataka,KA,S10,1,Mysore,867893,855100,1723134,596311.0,561022.0,1157346,2014,167,,65.6,68.70789371500865,67.2,14.36,985
920,Karnataka,KA,S10,1,Chamarajanagar,789384,766336,1555781,585063.0,547426.0,1132497,2014,168,,71.4,74.11639962299718,72.8,14.26,971
928,Karnataka,KA,S10,1,Uttara Kannada,742865,707704,1450599,521220.0,479217.0,1000437,2014,158,,67.7,70.16348865540846,69.0,14.19,953
941,Karnataka,KA,S10,1,Chikkballapur ,843790,814500,1658410,652727.0,608718.0,1261451,2014,173,,74.7,77.35656976261866,76.1,14.32,965
947,Karnataka,KA,S10,1,Shimoga,778782,783379,1562243,572307.0,556790.0,1129107,2014,160,,71.1,73.48744578071911,72.3,14.26,1006
