,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation
2942,West Bengal,WB,S25,1,Ghatal,835803,774672,1610489,690945.0,675066.0,1366019,2014,490,,0
2943,West Bengal,WB,S25,1,Raiganj,724014,663479,1387526,563566.0,543020.0,1106586,2014,463,,1
2948,West Bengal,WB,S25,1,Medinipur,770363,729306,1499673,647452.0,613326.0,1260778,2014,492,,1
2951,West Bengal,WB,S25,1,Purulia,764758,707169,1471933,627261.0,574047.0,1201309,2014,493,,1
2956,West Bengal,WB,S25,1,Jalpaiguri,795704,735760,1531469,675989.0,625242.0,1301231,2014,461,,1
2960,West Bengal,WB,S25,1,Krishnanagar ,769981,706791,1476783,638727.0,607902.0,1246629,2014,470,,1
2964,West Bengal,WB,S25,1,Howrah,802653,702441,1505099,621808.0,503224.0,1125035,2014,483,,1
2970,West Bengal,WB,S25,1,Arambagh,833629,766658,1600293,707257.0,654127.0,1361384,2014,487,,0
2972,West Bengal,WB,S25,1,Bangaon,796650,744053,1540713,653011.0,627517.0,1280528,2014,472,,0
2974,West Bengal,WB,S25,1,Uluberia,761951,686678,1448632,629091.0,557334.0,1186425,2014,484,,1
2995,West Bengal,WB,S25,1,Burdwan - durgapur,821377,762111,1583495,700025.0,629761.0,1329789,2014,497,,0
3002,Chhattisgarh,CT,S26,1,RAJNANDGAON,797477,793896,1591373,603428.0,574874.0,1178302,2014,506,,0
3005,Chhattisgarh,CT,S26,1,KORBA,729951,693664,1423729,545187.0,506882.0,1052069,2014,504,,1
3010,Chhattisgarh,CT,S26,1,KANKER,722916,725459,1448375,515715.0,500911.0,1016626,2014,511,,1
3020,Chhattisgarh,CT,S26,1,RAIPUR,979589,924588,1904460,659154.0,591606.0,1250760,2014,508,,0
3022,Chhattisgarh,CT,S26,1,BILASPUR,891316,837889,1729229,573078.0,516910.0,1089988,2014,505,,0
3025,Chhattisgarh,CT,S26,1,RAIGARH,819043,807906,1626949,631470.0,614665.0,1246135,2014,502,,0
3030,Chhattisgarh,CT,S26,1,MAHASAMUND,757694,758435,1516177,576664.0,554172.0,1130836,2014,509,,1
3042,Chhattisgarh,CT,S26,1,JANJGIR-CHAMPA,895884,848077,1744201,558932.0,514393.0,1073325,2014,503,,0
3048,Chhattisgarh,CT,S26,1,BASTAR,632842,665241,1298083,386189.0,383710.0,769899,2014,510,,1
3059,Chhattisgarh,CT,S26,1,DURG,948929,909771,1858922,661165.0,597929.0,1259094,2014,507,,0
3060,Chhattisgarh,CT,S26,1,SARGUJA,771106,751862,1523022,610812.0,576493.0,1187305,2014,501,,1
3066,Jharkhand,JH,S27,1,Khunti,565457,546398,1111856,373314.0,364162.0,737476,2014,522,,1
3069,Jharkhand,JH,S27,1,Giridih,811587,700052,1511644,531982.0,439241.0,971223,2014,517,,1
3073,Jharkhand,JH,S27,1,Dumka,658403,614641,1273049,466619.0,435895.0,902514,2014,513,,1
3084,Jharkhand,JH,S27,1,Ranchi,868528,779930,1648459,562384.0,487221.0,1049605,2014,519,,0
3087,Jharkhand,JH,S27,1,Kodarma,870003,769641,1639645,535308.0,489593.0,1024901,2014,516,,0
3090,Jharkhand,JH,S27,1,Godda,840396,750375,1590772,549854.0,499254.0,1049108,2014,514,,0
3097,Jharkhand,JH,S27,1,Chatra,696501,616060,1312562,383214.0,329747.0,712961,2014,515,,1
3098,Jharkhand,JH,S27,1,Jamshedpur,811632,770030,1581665,548089.0,501033.0,1049122,2014,520,,0
3116,Jharkhand,JH,S27,1,Palamau,889932,756024,1645957,523108.0,453494.0,976602,2014,524,,0
3117,Jharkhand,JH,S27,1,Hazaribagh,812554,706367,1518923,515052.0,452228.0,967280,2014,525,,1
3120,Jharkhand,JH,S27,1,Dhanbad,1032038,857981,1890021,642557.0,501332.0,1143889,2014,518,,0
3122,Jharkhand,JH,S27,1,Rajmahal,691403,662063,1353467,490824.0,460471.0,951295,2014,512,,1
3129,Jharkhand,JH,S27,1,Lohardaga,578880,540264,1119144,333825.0,317508.0,651333,2014,523,,1
3130,Jharkhand,JH,S27,1,Singhbhum,583330,569300,1152632,403571.0,391653.0,795224,2014,521,,1
3158,Uttarakhand,UK,S28,2,Nainital-udhamsingh Nagar,857782,753029,1610811,589435.0,509910.0,1099345,2014,529,,0
3160,Uttarakhand,UK,S28,2,Almora,639362,614162,1253541,316094.0,339409.0,655504,2014,528,,1
3164,Uttarakhand,UK,S28,2,Tehri Garhwal ,711671,640943,1352614,400041.0,370827.0,770868,2014,526,,1
3173,Uttarakhand,UK,S28,2,Garhwal,651868,615350,1267218,320955.0,357047.0,678002,2014,527,,1
3178,Uttarakhand,UK,S28,2,Hardwar,888328,754505,1642873,637480.0,535871.0,1173352,2014,530,,0
3185,Andaman & Nicobar Islands,AD,U01,2,Andaman & Nicobar Islands,142783,126577,269360,101129.0,89084.0,190213,2014,531,,1
3191,Chandigarh,CH,U02,2,CHANDIGARH,333621,281593,615214,244907.0,208415.0,453322,2014,532,,1
3192,Dadra & Nagar Haveli,DN,U03,2,Dadar & Nagar Haveli,106203,90394,196597,87792.0,77494.0,165286,2014,533,,1
3198,Daman & Diu,DD,U04,2,Daman & diu,57011,54816,111827,42355.0,44873.0,87228,2014,534,,1
3215,NCT OF Delhi,DL,U05,2,CHANDNI CHOWK,791318,655854,1447230,548427.0,431342.0,979790,2014,535,,1
3222,NCT OF Delhi,DL,U05,2,WEST DELHI,1108886,930409,2039410,742213.0,603424.0,1345645,2014,540,,0
3233,NCT OF Delhi,DL,U05,2,EAST DELHI,1023325,806102,1829578,676930.0,518463.0,1195428,2014,537,,0
3235,NCT OF Delhi,DL,U05,2,NORTH WEST DELHI,1212516,981633,2194343,757777.0,595362.0,1353181,2014,539,,0
3241,NCT OF Delhi,DL,U05,2,NEW DELHI,830322,659749,1490147,545628.0,422884.0,968519,2014,538,,1
3243,NCT OF Delhi,DL,U05,2,NORTH EAST DELHI,1079407,878183,1957708,738979.0,574789.0,1313796,2014,536,,0
3245,NCT OF Delhi,DL,U05,2,SOUTH DELHI,1005299,747322,1752748,639042.0,462222.0,1101277,2014,541,,0
3249,Lakshadweep,LK,U06,2,Lakshadweep ,25433,24489,49922,21584.0,21655.0,43239,2014,542,,1
3257,Puducherry,PY,U07,2,Puducherry,432048,469289,901357,351544.0,388189.0,739750,2014,543,,1
